CASN,MGW SRS,NRI SRS,NRID SRS,RI SRS,RID SRS
83-32-9,NA,NA,50000,NA,3600
67-64-1,19,NA,NA,NA,70000
98-86-2,3.6,NA,130000,NA,7800
309-00-2,0.066,NA,0.21,NA,0.041
7429-90-5,NA,NA,NA,NA,78000
120-12-7,NA,NA,250000,NA,18000
7440-36-0,5.4,NA,520,NA,31
7440-38-2,19,5200,19,1100,19
1912-24-9,0.33,NA,3200,NA,220
7440-39-3,2100,NA,260000,870000,16000
100-52-7,NA,NA,910,NA,170
71-43-2,0.0050,11,16,2.2,3
56-55-3,0.71,370000,23,78000,5.1
50-32-8,NA,16000,2.3,3500,0.51
205-99-2,NA,370000,23,78000,5.1
207-08-9,NA,NA,230,780000,51
7440-41-7,0.70,9300,2600,2000,160
92-52-4,1.0,NA,450,NA,87
111-91-1,NA,NA,2700,NA,190
111-44-4,0.33,NA,3.3,NA,0.63
117-81-7,14,NA,180,NA,39
75-27-4,0.0050,NA,59,NA,11
75-25-2,0.033,NA,460,NA,88
74-83-9,0.043,82,1800,18,110
78-93-3,14,NA,780000,NA,47000
85-68-7,5.2,NA,1300,NA,290
7440-43-9,0.50,12000,1100,2600,71
105-60-2,16,1300,460000,290,32000
75-15-0,3.7,NA,NA,NA,NA
56-23-5,0.0075,6.9,40,1.4,7.6
57-74-9,0.54,NA,1.4,NA,0.27
106-47-8,0.17,NA,13,NA,2.7
108-90-7,0.64,NA,8400,NA,510
75-00-3,NA,NA,NA,NA,NA
67-66-3,0.33,NA,13000,590,780
74-87-3,NA,1200,NA,270,NA
91-58-7,NA,NA,67000,NA,4800
95-57-8,0.76,NA,6500,NA,390
218-01-9,NA,NA,2300,NA,510
7440-48-4,1.8,2500,390,520,23
7440-50-8,910,NA,52000,NA,3100
57-12-5,1.0,NA,780,NA,47
110-82-7,NA,NA,NA,NA,NA
72-54-8,0.47,NA,11,NA,2.3
72-55-9,0.94,NA,11,NA,2.0
50-29-3,0.67,NA,9.5,NA,1.9
53-70-3,NA,37000,2.3,7800,0.51
124-48-1,0.0050,NA,43,NA,8.3
96-12-8,0.0050,0.12,4.5,0.026,0.87
106-93-4,0.0050,0.41,1.8,0.085,0.35
95-50-1,3.9,NA,110000,NA,6700
541-73-1,0.092,NA,110000,NA,6700
106-46-7,0.27,NA,13000,NA,780
91-94-1,0.68,NA,5.7,NA,1.2
75-71-8,38,NA,260000,NA,16000
75-34-3,0.11,NA,640,NA,120
107-06-2,0.0050,320,30,71,5.8
75-35-4,0.21,240,180,52,11
156-59-2,0.056,NA,13000,NA,780
156-60-5,0.56,NA,22000,NA,1300
120-83-2,0.19,NA,2700,NA,190
78-87-5,0.0053,27,98,5.7,19
542-75-6,0.0050,23,36,4.8,7.0
60-57-1,0.016,NA,0.16,NA,0.034
84-66-2,44,NA,730000,NA,51000
105-67-9,2.3,NA,18000,NA,1300
84-74-2,NA,NA,91000,NA,6300
51-28-5,0.33,NA,1800,NA,130
25321-14-6,0.17,NA,3.8,NA,0.80
117-84-0,NA,NA,9100,NA,630
123-91-1,0.067,210,36,45,7.0
115-29-7,NA,NA,7800,NA,470
72-20-8,1.6,NA,270,NA,19
100-41-4,3.3,48,130000,10,7800
206-44-0,NA,NA,33000,NA,2400
86-73-7,NA,NA,33000,NA,2400
319-84-6,0.0023,NA,0.41,NA,0.086
319-85-7,0.0023,NA,1.4,NA,0.30
76-44-8,0.033,NA,0.81,NA,0.15
1024-57-3,0.0081,NA,0.40,NA,0.076
118-74-1,0.17,NA,2.3,NA,0.43
87-68-3,0.17,NA,47,NA,8.9
77-47-4,2.5,NA,7800,2.7,470
67-72-1,0.17,NA,91,NA,17
13252-13-6,Site Specific,NA,3.9,NA,0.23
62037-80-3,Site Specific,NA,3.9,NA,0.23
110-54-3,5.5,NA,NA,NA,NA
591-78-6,0.15,NA,6500,1000,390
193-39-5,NA,370000,23,78000,5.1
78-59-1,0.23,NA,2700,NA,570
98-82-8,22,NA,130000,NA,7800
7439-92-1,90,NA,800,NA,200
58-89-9,0.0035,NA,2.8,NA,0.57
7439-96-5,NA,400000,31000,87000,1900
7439-97-6,0.10,NA,390,520000,23
67-56-1,12,NA,NA,NA,160000
72-43-5,0.11,NA,4600,NA,320
79-20-9,22,NA,NA,NA,78000
75-09-2,0.0026,NA,260,1400,50
91-57-6,3.1,NA,3300,NA,240
108-10-1,NA,NA,NA,NA,NA
95-48-7,0.77,NA,4600,NA,320
106-44-5,0.75,NA,9100,NA,630
1634-04-4,0.25,650,13000,140,780
91-20-3,19,27,34000,5.7,2500
7440-02-0,48,93000,26000,20000,1600
100-01-6,NA,NA,130,NA,27
98-95-3,0.17,36,2600,7.5,160
621-64-7,0.17,NA,0.36,NA,0.17
86-30-6,1.1,NA,520,NA,110
108-60-1,1.9,NA,52000,NA,3100
87-86-5,0.33,NA,4.4,NA,1.0
375-95-1,Site Specific,NA,0.67,NA,0.047
1763-23-1,Site Specific,NA,1.6,NA,0.11
335-67-1,Site Specific,NA,1.8,NA,0.13
108-95-2,21,NA,270000,39000,19000
1336-36-3,0.63,NA,1.1,NA,0.25
129-00-0,NA,NA,25000,NA,1800
7782-49-2,11,NA,6500,NA,390
7440-22-4,0.50,NA,6500,NA,390
100-42-5,2.1,NA,260000,NA,16000
75-65-0,0.32,NA,23000,NA,1400
95-94-3,NA,NA,390,NA,23
1746-01-6,0.00010,NA,0.00081,NA,0.000051
79-34-5,0.0050,NA,18,NA,3.5
127-18-4,0.0050,NA,1700,47,330
58-90-2,26,NA,27000,NA,1900
108-88-3,7.8,NA,100000,NA,6300
8001-35-2,3.7,NA,2.3,NA,0.49
120-82-1,0.063,NA,13000,94,780
71-55-6,12,NA,NA,NA,160000
79-00-5,0.0050,NA,64,NA,12
79-01-6,0.0050,14,79,3,15
75-69-4,29,NA,390000,NA,23000
95-95-4,68,NA,91000,NA,6300
88-06-2,0.20,NA,230,NA,49
76-13-1,NA,NA,NA,NA,NA
95-63-6,NA,NA,13000,NA,780
7440-62-2,NA,800000,6500,170000,390
75-01-4,0.0050,6.4,5.0,1.4,0.97
1330-20-7,19,NA,190000,NA,12000
7440-66-6,930,NA,390000,NA,23000
